Speaker_ID,main_speaker
713,Heather Knight
714,Martin Jacques
715,Thomas Goetz
716,Liza Donnelly
717,Ariel Garten
718,Bruce Feiler
719,Kate Orff
720,Dale Dougherty
721,Christopher McDougall
722,Suheir Hammad
723,Nigel Marsh
724,Cynthia Breazeal
725,Hawa Abdi + Deqo Mohamed
726,Michael Pawlyn
727,Geert Chatrou
728,Krista Tippett
729,Patricia Kuhl
730,Lisa Gansky
731,Madeleine Albright
732,Noreena Hertz
733,Iain Hutchison
734,Elizabeth Lindsey
735,Danny Hillis
736,Ahn Trio
737,Wadah Khanfar
738,JR
739,Wael Ghonim
740,Courtney E. Martin
741,Sal Khan
742,Deb Roy
743,Rob Harmon
744,David Brooks
745,Janna Levin
746,Mark Bezos
747,Rogier van der Heide
748,Sarah Kay
749,Isabel Behncke
750,Paul Root Wolpe
751,Eythor Bender
752,Claron McFadden
753,Patricia Ryan 
754,Ralph Langner
755,Handspring Puppet Co.
756,Sebastian Thrun
757,AnnMarie Thomas
758,Stanley McChrystal
759,Chade-Meng Tan
760,Morgan Spurlock
761,Mick Ebeling
762,Caroline Casey
763,Jackson Browne
764,David Christian
765,Dave Meslin
766,Roger Ebert
767,Marcin Jakubowski
768,Susan Lim
769,Sam Richards
770,Kathryn Schulz
771,John Hunter
772,Anil Ananthaswamy
773,Ric Elias
774,Harvey Fineberg
775,Bruce Schneier
776,Angela Belcher
777,Mike Matas
778,Arvind Gupta
779,Eli Pariser
780,Aicha el-Wafi + Phyllis Rodriguez
781,Carlo Ratti
782,Suzanne Lee
783,Sean Carroll
784,Louie Schwartzberg
785,Paul Nicklen
786,Fiorenzo Omenetto
787,Ron Gutman
788,Amit Sood
789,Leonard Susskind
790,Ed Boyden
791,Thomas Heatherwick
792,Elliot Krane
793,Terry Moore
794,Improv Everywhere
795,Aaron Koblin
796,Bruce Aylward
797,Shirin Neshat
798,Mustafa Akyol
799,Robert Gupta + Joshua Roman
800,Malcolm McLaren
801,Aaron O'Connell
802,Jessi Arrington
803,Damon Horowitz
804,Jack Horner
805,Janet Echelman
806,Alice Dreger
807,JD Schramm
808,Shea Hembrey
809,Steve Keil
810,Camille Seaman
811,Onyx Ashanti
812,Maya Beiser
813,Bill Ford
814,Daniel Tammet
815,Jok Church
816,Honor Harger
817,Joshua Walters
818,Emiliano Salinas
819,Rajesh Rao
820,Dave deBronkart
821,Robert Hammond
822,Matt Cutts
823,Simon Lewis
824,Nina Tandon
825,Rebecca MacKinnon
826,Maajid Nawaz
827,Tim Harford
828,Nadia Al-Sakkaf
829,Mikko Hypponen
830,Thandie Newton
831,Kevin Slavin
832,Markus Fischer
833,Rory Stewart
834,Geoffrey West
835,Paul Bloom
836,Josette Sheeran
837,Adam Ostrow
838,Harald Haas
839,Mark Pagel
840,Jessica Green
841,Dyan deNapoli
842,Jeremy Gilley
843,Lucianne Walkowicz
844,Marco Tempest
845,Svante PÃ¤Ã¤bo
846,Julia Bacha
847,Skylar Tibbits
848,Joan Halifax
849,Edward Tenner
850,Sarah Kaminsky
851,Lee Cronin
852,Yasheng Huang
853,Kate Hartman
854,Richard Resnick
855,Lauren Zalaznick
856,Sasha Dichter
857,Niall Ferguson
858,Jean-Baptiste Michel + Erez Lieberman Aiden
859,Amy Lockwood
860,Elizabeth Murchison
861,Sunni Brown
862,Abraham Verghese
863,Jarreth Merz
864,Ben Goldacre
865,Danielle de Niese
866,Yang Lan
867,Christoph Adami
868,Steve Jobs
869,Mike Biddle
870,Charles Hazlewood
871,Alison Gopnik
872,Richard Seymour
873,Ian Ritchie
874,Pamela Meyer
875,Jae Rhim Lee
876,Bunker Roy
877,Justin Hall-Tipping
878,Guy-Philippe Goldstein
879,Todd Kuiken
880,Nathalie Miebach
881,Richard Wilkinson
882,Iain McGilchrist
883,Jay Bradner
884,BÃ©atrice Coron
885,Hasan Elahi
886,Paul Zak
887,Anna Mracek Dietrich
888,Daniel Wolpert
889,Paul Lewis
890,Sandra Fisher-Martins
891,Martin Hanczyc
892,Aparna Rao
893,Ben Kacyra
894,Allan Jones
895,Charlie Todd
896,Roger McNamee
897,Michael Nielsen
898,Alexander Tsiaras
899,Yves Rossy
900,Thomas Suarez
901,Cynthia Kenyon
902,Robin Ince
903,Gabe Zichermann
904,Natalie Warne
905,Phil Plait
906,PÃ©ter Fankhauser
907,Joe Sabia
908,Britta Riley
909,Amy Purdy
910,Annie Murphy Paul
911,John Bohannon
912,Leslie Dodson
913,Srdja Popovic
914,Luis von Ahn
915,Cheryl Hayashi
916,Yoav Medan
917,Stefon Harris
918,Klaus Stadlmann
919,David Damberger
920,Monika Bulaj
921,Quyen Nguyen
922,Pavan Sukhdev
923,Homaro Cantu + Ben Roche
924,Ramona Pierson
925,Roger Doiron
926,Thomas Pogge
927,Antonio Damasio
928,Sheila Nirenberg
929,Daniel Goldstein
930,Karen Tse
931,Alberto Cairo
932,Jane Fonda
933,Paddy Ashdown
934,Nate Garvis
935,Michelle Borkin
936,Tyler Cowen
937,"Lauren Hodge, Shree Bose + Naomi Shah"
938,Jonas Gahr StÃ¸re
939,Drew Berry
940,Morley
941,Kirk Sorensen
942,Charles Hazlewood + British Paraorchestra
943,Sonaar Luthra
944,Scott Rickard
945,Bilal Bomani
946,Julian Baggini
947,Lisa Harouni
948,Diana Nyad
949,Brian Goldman
950,Gayle Tzemach Lemmon
951,Mick Mountz
952,Peter van Uhm
953,Bill Doyle
954,Shawn Achor
955,Erica Frenkel
956,Mike deGruy
957,Aleph Molinari
958,Nancy Duarte
959,Neil Burgess
960,Stephen Coleman
961,Sheikha Al Mayassa
962,Erik Johansson
963,Drew Dudley
964,Keith Nolan
965,Tyrone Hayes + Penelope Jagessar Chaffer
966,Jenna McCarthy
967,Inara George
968,Lucien Engelen
969,Simon Berrow
970,Paul Conneally
971,Garth Lenz
972,Neil MacGregor
973,Chris Bliss
974,Shilo Shiv Suleman
975,Shlomo Benartzi
976,Avi Rubin
977,Jeffrey Kluger
978,Kevin Allocca
979,Paul Snelgrove
